        soln	      dist_x	        step	          pH	          pe	       Fe(2)	       Fe(3)	       Cu(1)	       Cu(2)	        S(6)	       S(-2)	        O(0)	     Calcite	   d_Calcite	Dolomite-dis	d_Dolomite-dis	      Gypsum	    d_Gypsum	    Tenorite	  d_Tenorite	 Brochantite	d_Brochantite	    Goethite	  d_Goethite	   Malachite	 d_Malachite	     Azurite	   d_Azurite	     Cuprite	   d_Cuprite	     Bornite	   d_Bornite	          Cu	        d_Cu	   Covellite	 d_Covellite	  Chalcocite	d_Chalcocite	      Pyrite	    d_Pyrite	Chalcopyrite	d_Chalcopyrite	si_Melanterite	    k_Pyrite	   dk_Pyrite	k_Chalcopyrite	dk_Chalcopyrite	
           1	         -99	         -99	           7	           4	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5000e-04	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           1	         -99	           1	     7.80517	     12.7955	  7.8890e-23	  3.5717e-12	  1.0590e-21	  9.2109e-10	  2.5002e-04	  0.0000e+00	  5.1049e-04	  3.0066e-01	  6.5754e-04	  2.9883e-01	 -1.1699e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  3.8649e-09	  3.8649e-09	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	    -24.0933	  2.0000e+00	 -2.9474e-09	  6.2500e-01	 -9.2107e-10	
           1	         0.5	           0	     7.80517	     12.7955	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5001e-04	  0.0000e+00	  5.1049e-04	  3.0066e-01	  6.5754e-04	  2.9883e-01	 -1.1699e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           2	         1.5	           0	     7.80517	     12.7955	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5001e-04	  0.0000e+00	  5.1049e-04	  3.0066e-01	  6.5754e-04	  2.9883e-01	 -1.1699e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           3	         2.5	           0	     7.80517	     12.7955	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5001e-04	  0.0000e+00	  5.1049e-04	  3.0066e-01	  6.5754e-04	  2.9883e-01	 -1.1699e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           4	         3.5	           0	     7.80517	     12.7955	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5001e-04	  0.0000e+00	  5.1049e-04	  3.0066e-01	  6.5754e-04	  2.9883e-01	 -1.1699e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           5	         4.5	           0	     7.80517	     12.7955	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5001e-04	  0.0000e+00	  5.1049e-04	  3.0066e-01	  6.5754e-04	  2.9883e-01	 -1.1699e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           6	         5.5	           0	     7.80517	     12.7955	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5001e-04	  0.0000e+00	  5.1049e-04	  3.0066e-01	  6.5754e-04	  2.9883e-01	 -1.1699e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           7	         6.5	           0	     7.80517	     12.7955	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5001e-04	  0.0000e+00	  5.1049e-04	  3.0066e-01	  6.5754e-04	  2.9883e-01	 -1.1699e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
           8	         7.5	           0	     7.80517	     12.7955	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  2.5001e-04	  0.0000e+00	  5.1049e-04	  3.0066e-01	  6.5754e-04	  2.9883e-01	 -1.1699e-03	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	   -999.9990	  0.0000e+00	  0.0000e+00	  0.0000e+00	  0.0000e+00	
